Year,Age group (condensed),Incidence,Inc_LCI,Inc_UCI,CoB
2001,All cases (crude),12.463158051408392,12.153920460775476,12.77827386544056,Total
2002,All cases (crude),13.434175669298826,13.113782185785567,13.760419240868362,Total
2003,All cases (crude),13.275776393061687,12.958070376382883,13.599303726072806,Total
2004,All cases (crude),13.802281520322905,13.479163843773973,14.131188783158324,Total
2005,All cases (crude),15.128630708345964,14.791625561149706,15.471377241699113,Total
2006,All cases (crude),15.071072241353148,14.73589301967027,15.411952353930587,Total
2007,All cases (crude),14.74861579920069,14.418398817081897,15.084487672967477,Total
2008,All cases (crude),15.064887574078922,14.732524415748632,15.402857858182049,Total
2009,All cases (crude),15.541307356155594,15.204927098787747,15.883253458223175,Total
2010,All cases (crude),14.581387660286037,14.256993964961584,14.911300614625027,Total
2011,All cases (crude),15.59111539159619,15.257079663273565,15.930621302115295,Total
2012,All cases (crude),15.11579048826452,14.78809750909819,15.448914359955184,Total
2013,All cases (crude),13.479791831617444,13.171502972686062,13.793475183033257,Total
2014,All cases (crude),11.915322121123227,11.626778095889218,12.209217116436164,Total
2015,All cases (crude),10.509921572220017,10.240190817146184,10.784958754392068,Total
2e3,All cases (adj),11.671578986592463,11.378932542640786,11.96988571261371,Total
2001,All cases (adj),12.53325449927614,12.222240261138117,12.850233321643232,Total
2002,All cases (adj),13.489533040719472,13.167790629499402,13.817203093259915,Total
2003,All cases (adj),13.30577742041604,12.987331888229646,13.630111829269424,Total
2004,All cases (adj),13.80980645610753,13.48649216819217,14.138969966901882,Total
2005,All cases (adj),15.109391131699123,14.7727884718403,15.451791037582598,Total
2006,All cases (adj),15.022115600533432,14.687986950338242,15.362001407826723,Total
2007,All cases (adj),14.689986920749016,14.36104208128087,15.024638619180829,Total
2008,All cases (adj),14.998946056895145,14.668009101068067,15.33552605840142,Total
2009,All cases (adj),15.478177117341177,15.143148062577756,15.818793781134795,Total
2010,All cases (adj),14.52862942776864,14.205403355102346,14.857399353293088,Total
2011,All cases (adj),15.539775044457558,15.206834341304651,15.878215600678265,Total
2012,All cases (adj),15.110318436488225,14.78271236985111,15.443389546712712,Total
2013,All cases (adj),13.501416297215604,13.192556225626891,13.815707173572376,Total
2014,All cases (adj),11.943684802392003,11.654321943935908,12.238438873001428,Total
2015,All cases (adj),10.554129574097951,10.28310692473811,10.830512399902217,Total
2e3,0-14,3.7003626034510693,3.3206878369389883,4.11155004136469,Total (LFS)
2001,0-14,4.393774366332661,3.977724459928871,4.841511885067922,Total (LFS)
2002,0-14,4.183038947452036,3.776097984601169,4.621881672246183,Total (LFS)
2003,0-14,3.511303516532424,3.138775280603992,3.915883373006355,Total (LFS)
2004,0-14,4.3779694912156915,3.9604113950713966,4.827576333637846,Total (LFS)
2005,0-14,4.538324454985508,4.11213668217244,4.996685825144973,Total (LFS)
2006,0-14,3.9696534251310203,3.5712092189980575,4.400396720874531,Total (LFS)
2007,0-14,5.0056895809425495,4.556732741678589,5.48691865884569,Total (LFS)
2008,0-14,4.904185162023513,4.461958254222308,5.378383148076429,Total (LFS)
2009,0-14,4.244963410472909,3.835090025377886,4.686711214800243,Total (LFS)
2010,0-14,3.8240262817247417,3.4365342679279185,4.243251365200367,Total (LFS)
2011,0-14,4.0280485015606,3.6311434939971656,4.456497207179965,Total (LFS)
2012,0-14,4.199156224093274,3.795706670415607,4.633815135160341,Total (LFS)
2013,0-14,3.04887408013845,2.708599944562761,3.420069180019171,Total (LFS)
2014,0-14,2.723253739426035,2.4040450648740643,3.0730516908056984,Total (LFS)
2015,0-14,2.257233046794698,1.968794185174934,2.576038965707421,Total (LFS)
2016,0-14,0,0,0.03740236643465358,Total (LFS)
2e3,15-64,14.361539438737827,13.947918106327258,14.784311824094333,Total (LFS)
2001,15-64,14.5433396049403,14.128566228574686,14.967198314316395,Total (LFS)
2002,15-64,16.011037475224057,15.57724858590747,16.45384414053239,Total (LFS)
2003,15-64,16.386087767951807,15.948693180440447,16.832438386203552,Total (LFS)
2004,15-64,16.984741164196056,16.540956885444817,17.437416684773183,Total (LFS)
2005,15-64,18.6766072893849,18.213760154410547,19.148241775439836,Total (LFS)
2006,15-64,18.750021684105473,18.288719145940565,19.220017786728512,Total (LFS)
2007,15-64,18.068447981592442,17.61798322279268,18.527517236381673,Total (LFS)
2008,15-64,18.712019056557818,18.255043725244064,19.1775418943781,Total (LFS)
2009,15-64,19.339026913615573,18.875733071664495,19.81081874318123,Total (LFS)
2010,15-64,18.26547685443391,17.816770723359106,18.72262624369437,Total (LFS)
2011,15-64,19.689781237184587,19.225423631696817,20.16252170218607,Total (LFS)
2012,15-64,19.092153113527324,18.63484220642429,19.557850985181673,Total (LFS)
2013,15-64,17.231258229534383,16.79697358244847,17.673930459517134,Total (LFS)
2014,15-64,15.059490887353599,14.654240390181464,15.473107904603046,Total (LFS)
2015,15-64,13.427519576911532,13.04607097349804,13.817290156760434,Total (LFS)
2016,15-64,0,0,0.01051164025989458,Total (LFS)
2e3,65+,15.138142615836058,14.266360905481344,16.04926194073284,Total (LFS)
2001,65+,14.693356076170678,13.83738693177397,15.588414877055847,Total (LFS)
2002,65+,14.93959622454492,14.079248487100692,15.838765638637943,Total (LFS)
2003,65+,12.98579222495136,12.187392249094444,13.82275917719003,Total (LFS)
2004,65+,12.727204163209894,11.939570498173296,13.553145055993175,Total (LFS)
2005,65+,13.82380487809953,13.005174525718658,14.68046344594675,Total (LFS)
2006,65+,13.603485601682168,12.793006799110076,14.451852241727153,Total (LFS)
2007,65+,13.072895905846384,12.282071019617389,13.90128137642371,Total (LFS)
2008,65+,12.540714656391371,11.772361447797635,13.346048788721715,Total (LFS)
2009,65+,13.718397760601803,12.92172060786811,14.551338688358978,Total (LFS)
2010,65+,12.556337905760854,11.802210958699577,13.34601472620798,Total (LFS)
2011,65+,12.83993672936558,12.084798426401981,13.629902736721217,Total (LFS)
2012,65+,12.340108558485738,11.613036200913344,13.100778155905905,Total (LFS)
2013,65+,11.146262416969838,10.46536912375791,11.859825932174683,Total (LFS)
2014,65+,10.620965939270297,9.964674485609473,11.309126233347252,Total (LFS)
2015,65+,9.034862809083192,8.43587836446889,9.665152258446303,Total (LFS)
2016,65+,0,0,0.038723717914518826,Total (LFS)
2e3,All cases (crude),12.427864441565564,12.116295706196418,12.745418352250724,Total (LFS)
2001,All cases (crude),12.6342525143249,12.320769704361162,12.953694244046812,Total (LFS)
2002,All cases (crude),13.619137970193393,13.294333295598449,13.949873277105311,Total (LFS)
2003,All cases (crude),13.45769259210875,13.135633092118882,13.785653177154751,Total (LFS)
2004,All cases (crude),13.99045894319288,13.66293594774307,14.32385045893913,Total (LFS)
2005,All cases (crude),15.33875354716189,14.997067706809084,15.6862605162723,Total (LFS)
2006,All cases (crude),15.278754622166405,14.938956563970539,15.624332130670176,Total (LFS)
2007,All cases (crude),14.952825493048111,14.618036318545991,15.293347856965816,Total (LFS)
2008,All cases (crude),15.272539105995728,14.935594717394675,15.61516790791993,Total (LFS)
2009,All cases (crude),15.75240084298647,15.411451621129244,16.098991508946874,Total (LFS)
2010,All cases (crude),14.779748817437177,14.450942160172735,15.114149816186373,Total (LFS)
2011,All cases (crude),15.80214372492483,15.463586767604175,16.14624490426548,Total (LFS)
2012,All cases (crude),15.31823133041302,14.986149666267222,15.655816621251903,Total (LFS)
2013,All cases (crude),13.659761435586933,13.347356591442788,13.977632794446137,Total (LFS)
2014,All cases (crude),12.076201277883019,11.783761368089968,12.374064405869273,Total (LFS)
2015,All cases (crude),10.653154958298023,10.379748205347981,10.931940456442668,Total (LFS)
2016,All cases (crude),0,0,0.006770807351853896,Total (LFS)
2e3,All cases (adj),12.540553481523787,12.226089208951636,12.861133261745444,Total (LFS)
2001,All cases (adj),12.715576934291375,12.40001556850862,13.037211988988078,Total (LFS)
2002,All cases (adj),13.68188653984229,13.35553684837867,14.014268933167166,Total (LFS)
2003,All cases (adj),13.493846865682398,13.17088521233443,13.822798693360316,Total (LFS)
2004,All cases (adj),14.004425699230499,13.676541859491376,14.33825715402219,Total (LFS)
2005,All cases (adj),15.321763130725163,14.980415573290516,15.669004639381713,Total (LFS)
2006,All cases (adj),15.231099118445307,14.892307304057887,15.575742684385425,Total (LFS)
2007,All cases (adj),14.887018504799101,14.553644398982543,15.226191274505565,Total (LFS)
2008,All cases (adj),15.206790250292777,14.871257558091589,15.548057226948302,Total (LFS)
2009,All cases (adj),15.687120697232862,15.347562299238357,16.032346764429768,Total (LFS)
2010,All cases (adj),14.71849399980606,14.391040106060906,15.051568165777267,Total (LFS)
2011,All cases (adj),15.737900048361068,15.400712930923753,16.080663966168935,Total (LFS)
2012,All cases (adj),15.29615027269997,14.964522488981487,15.633318184769488,Total (LFS)
2013,All cases (adj),13.67148536120332,13.358744541435401,13.989728255114843,Total (LFS)
2014,All cases (adj),12.099614300133954,11.806484498531923,12.398204423390904,Total (LFS)
2015,All cases (adj),10.687693222579485,10.413251499472645,10.967561487769405,Total (LFS)
2016,All cases (adj),0,NaN,0.0069142752049493736,Total (LFS)
2e3,0-14,2.734032643026839,2.4043198267982278,3.0963327604756103,UK born
2001,0-14,3.101776973563966,2.7484561527780476,3.487921641311775,UK born
2002,0-14,2.68236730699301,2.353049746560674,3.0448730807424993,UK born
2003,0-14,2.24237236654317,1.9408964880512218,2.577406884551103,UK born
2004,0-14,3.187476157508795,2.8262712668917986,3.5820494774311133,UK born
2005,0-14,3.059777782496838,2.7043800446069035,3.4488972814545145,UK born
2006,0-14,2.723275247519292,2.3875742789851384,3.092957918380637,UK born
2007,0-14,3.605548800929677,3.2165285423737515,4.028652141816258,UK born
2008,0-14,3.4537005143040385,3.075123169874788,3.8660168124142342,UK born
2009,0-14,3.114362719521066,2.755212202611275,3.5073268583373545,UK born
2010,0-14,2.9276582481872726,2.580633836574534,3.308343521251286,UK born
2011,0-14,2.75044032512242,2.415464760595735,3.11888036825675,UK born
2012,0-14,3.067468463221896,2.714354340882098,3.4537638661083725,UK born
2013,0-14,2.245407312462033,1.9471296839165817,2.5764519785475724,UK born
2014,0-14,2.079703709344131,1.7937635637118083,2.3982677797567264,UK born
2015,0-14,1.8183602684337916,1.5522629934036607,2.1169850852908803,UK born
2016,0-14,0,0,0.03992959274721042,UK born
2e3,15-64,4.5494228749689665,4.3049850246482695,4.8041239054934515,UK born
2001,15-64,4.368967833622989,4.130002068659829,4.618154403262582,UK born
2002,15-64,4.323861482602198,4.0864237795318745,4.5714964953279305,UK born
2003,15-64,4.053543722592615,3.82389602014242,4.293379032675391,UK born
2004,15-64,4.153718106896994,3.921713148539051,4.395864499330519,UK born
2005,15-64,4.298819395720654,4.063318360716084,4.544409592575906,UK born
2006,15-64,4.307761248879058,4.071957024084177,4.553659330218005,UK born
2007,15-64,4.283520518685587,4.04829807293804,4.5288451347547545,UK born
2008,15-64,4.603044038014499,4.35895660904729,4.857241107442568,UK born
2009,15-64,4.739835904184373,4.492230910108873,4.997538270217961,UK born
2010,15-64,4.303334577820483,4.067958699937553,4.548777717320389,UK born
2011,15-64,4.712246804462259,4.4653713410956994,4.96922005278281,UK born
2012,15-64,4.848218990963121,4.597288719841814,5.109284450276009,UK born
2013,15-64,4.463290849403775,4.221726637395659,4.7150745629552215,UK born
2014,15-64,4.18249250777229,3.9483010904027647,4.42694730522346,UK born
2015,15-64,3.821658114958153,3.597615233339596,4.055999844014622,UK born
2016,15-64,0,0,0.013040393609036562,UK born
2e3,65+,8.925793205002535,8.23198873399053,9.662454898677181,UK born
2001,65+,8.880990779691102,8.189002307118638,9.615833170814774,UK born
2002,65+,8.115727074051,7.456807254462482,8.81726533622543,UK born
2003,65+,7.472683748263679,6.844123332387451,8.143450538318563,UK born
2004,65+,6.689905685113099,6.099301247615566,7.322256787798192,UK born
2005,65+,6.468738435352922,5.887939565750138,7.091334347742491,UK born
2006,65+,6.600507344803264,6.0141351802599194,7.228603839909467,UK born
2007,65+,5.999271053277197,5.442392421184465,6.597671748151946,UK born
2008,65+,5.736473924864754,5.195219478004643,6.31879502751808,UK born
2009,65+,5.98113219684522,5.433428342821579,6.569086960103578,UK born
2010,65+,5.782802479633651,5.250878766833867,6.3540047593496976,UK born
2011,65+,5.7973736585703675,5.269436106588325,6.363880714053398,UK born
2012,65+,5.337621010904848,4.839869078199497,5.872669417891303,UK born
2013,65+,5.181464043738498,4.696586090117607,5.702809265709979,UK born
2014,65+,5.008269022696663,4.540144383447026,5.51155718070273,UK born
2015,65+,4.021778575879998,3.6073734896631713,4.470735758339103,UK born
2016,65+,0,0,0.04261356967267845,UK born
2e3,All cases (crude),4.853392290257914,4.650573971794401,5.062779488768967,UK born
2001,All cases (crude),4.807679863440284,4.605936069156846,5.015985700696172,UK born
2002,All cases (crude),4.582384078336677,4.385527394514262,4.785800411066943,UK born
2003,All cases (crude),4.2289090244311565,4.039937873869348,4.424437855231498,UK born
2004,All cases (crude),4.361914731143432,4.1704408689887895,4.5599122873202544,UK born
2005,All cases (crude),4.397364932690487,4.205209884839417,4.596036315327561,UK born
2006,All cases (crude),4.36062576434006,4.16915993123782,4.558616722545865,UK born
2007,All cases (crude),4.424310250367821,4.231365169713133,4.623784952184035,UK born
2008,All cases (crude),4.559978074607625,4.364368672542452,4.7620958102317585,UK born
2009,All cases (crude),4.6258108234632695,4.429131087193218,4.828974981881684,UK born
2010,All cases (crude),4.28129168270219,4.0928305392323185,4.4761924030217255,UK born
2011,All cases (crude),4.512631202879306,4.319286713436102,4.712400666486573,UK born
2012,All cases (crude),4.585329126525941,4.390878538537442,4.786173452755246,UK born
2013,All cases (crude),4.15128762678852,3.9665601177397667,4.3423979479379815,UK born
2014,All cases (crude),3.9168436032000113,3.7379186190904488,4.102120303122774,UK born
2015,All cases (crude),3.461568672169403,3.293702120512716,3.6357736808544243,UK born
2016,All cases (crude),0,0,0.00798750196389608,UK born
2e3,All cases (adj),4.91534999644297,4.709793510306775,5.127706844361793,UK born
2001,All cases (adj),4.865524706397911,4.661201013443132,5.076641227234082,UK born
2002,All cases (adj),4.627384694842169,4.428471531114955,4.833063937862306,UK born
2003,All cases (adj),4.261905806526892,4.071371671066741,4.459170250076662,UK born
2004,All cases (adj),4.382713598419222,4.1902625396114725,4.581829827724482,UK born
2005,All cases (adj),4.413371859164397,4.22044241664207,4.612959696509197,UK born
2006,All cases (adj),4.374467893448088,4.182321428899092,4.573272618990793,UK born
2007,All cases (adj),4.433642028945331,4.240231433051349,4.633694879404996,UK born
2008,All cases (adj),4.563784734415548,4.367977803952721,4.766186021212049,UK born
2009,All cases (adj),4.62446550337854,4.427827054352301,4.827630514875223,UK born
2010,All cases (adj),4.27667096174457,4.088407279432155,4.471411909128542,UK born
2011,All cases (adj),4.504661664539751,4.31165214490236,4.704120704771601,UK born
2012,All cases (adj),4.577786244073476,4.383613337431716,4.778373487174578,UK born
2013,All cases (adj),4.144449380132392,3.9599262045013455,4.335395437098737,UK born
2014,All cases (adj),3.904169690301505,3.7256063032559923,4.089144955035932,UK born
2015,All cases (adj),3.459438641344333,3.2914095450387304,3.6338931828122427,UK born
2016,All cases (adj),0,NaN,0.00830912100031416,UK born
2e3,0-14,0,0,275.28951150103995,NA
2001,0-14,0,0,242.3705291796278,NA
2002,0-14,0,0,198.7542809328629,NA
2003,0-14,0,0,326.4495092136226,NA
2004,0-14,0,0,112.98252539399496,NA
2005,0-14,0,0,342.5143411433552,NA
2006,0-14,0,0,400.52979957806025,NA
2007,0-14,0,0,315.82872038646707,NA
2008,0-14,0,0,223.43303780217659,NA
2009,0-14,0,0,260.69819463702726,NA
2010,0-14,NA,NA,NA,NA
2011,0-14,0,0,334.13763171321875,NA
2012,0-14,NA,NA,NA,NA
2013,0-14,NA,NA,NA,NA
2014,0-14,0,0,244.62065345583125,NA
2015,0-14,0,0,140.04857456772723,NA
2016,0-14,0,0,103.07011606912366,NA
2e3,15-64,0,0,80.00172314278758,NA
2001,15-64,0,0,53.516312985839775,NA
2002,15-64,0,0,109.07390461602411,NA
2003,15-64,0,0,172.94324679390226,NA
2004,15-64,0,0,77.53004317179351,NA
2005,15-64,0,0,66.62234881910665,NA
2006,15-64,0,0,74.32761342159854,NA
2007,15-64,0,0,41.7955977125984,NA
2008,15-64,0,0,63.601369898516126,NA
2009,15-64,0,0,68.78387943527756,NA
2010,15-64,0,0,80.59601166952011,NA
2011,15-64,0,0,294.87445676370385,NA
2012,15-64,0,0,32.09395731785223,NA
2013,15-64,0,0,45.019275739735605,NA
2014,15-64,0,0,130.9506373487375,NA
2015,15-64,0,0,20.787103877572047,NA
2016,15-64,0,0,14.313516429124379,NA
2e3,65+,0,0,770.1209716313017,NA
2001,65+,0,0,61.66632320484679,NA
2002,65+,0,0,140.74320694826156,NA
2003,65+,0,0,363.0786864285369,NA
2004,65+,0,0,123.33264640969358,NA
2005,65+,0,0,140.20826507464596,NA
2006,65+,NA,NA,NA,NA
2007,65+,NA,NA,NA,NA
2008,65+,0,0,167.90530059690192,NA
2009,65+,0,0,204.9377474507742,NA
2010,65+,0,0,154.99493504680402,NA
2011,65+,0,0,855.8885044347878,NA
2012,65+,0,0,186.9680412627438,NA
2013,65+,0,0,81.63043713463013,NA
2014,65+,NA,NA,NA,NA
2015,65+,0,0,757.4701137810956,NA
2016,65+,NA,NA,NA,NA
2e3,All cases (crude),0,0,57.36982043723073,NA
2001,All cases (crude),0,0,25.62255646394343,NA
2002,All cases (crude),0,0,46.93828036790858,NA
2003,All cases (crude),0,0,86.20891456213919,NA
2004,All cases (crude),0,0,33.4926407673319,NA
2005,All cases (crude),0,0,39.90134617754392,NA
2006,All cases (crude),NA,NA,NA,NA
2007,All cases (crude),NA,NA,NA,NA
2008,All cases (crude),0,0,38.23465437514444,NA
