Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2004,78,15.84729674224857,11.723917370522454,20.950966715152376,Total
2005,78,11.691006693101333,8.188237359039006,16.185281181452925,Total
2006,78,10.466067048242028,7.158782113257422,14.774963885337849,Total
2007,78,14.747182005873224,10.79679069548091,19.67067417402508,Total
2008,78,11.238866497875541,7.871563924897905,15.55932856802361,Total
2009,78,14.208669759626375,10.40253204949926,18.952374302875093,Total
2010,78,13.04137220076261,9.3990739795057,17.628146628026112,Total
2011,78,14.906438312718047,10.952690189364336,19.822402899031704,Total
2012,78,14.14040479265453,10.314108286665117,18.920974147242088,Total
2013,78,14.49161599632879,10.684973650463201,19.213780374163644,Total
2014,78,12.710010759171897,9.198297807956816,17.12030108253338,Total
2015,78,7.230072474246482,4.67892169190328,10.673013233210431,Total
2000,79,13.4902411021814,9.912121747148609,17.939160832562276,Total
2001,79,13.819123739004958,10.00096837090759,18.614268987759992,Total
2002,79,14.496271424140675,10.49102350822147,19.52638247582279,Total
2003,79,13.303497114164472,9.460086946689298,18.186318501355203,Total
2004,79,12.686830726818245,8.932699643433546,17.487124972802462,Total
2005,79,10.581793853001816,7.189815528318878,15.020011709351836,Total
2006,79,14.350339624704452,10.342462563543885,19.39749032325529,Total
2007,79,17.15989937435007,12.7364080684,22.623188056825626,Total
2008,79,10.743951491059018,7.348854866434071,15.16725380551449,Total
2009,79,13.718362027573908,9.886988699491996,18.543240204759833,Total
2010,79,14.507939066655922,10.5821903081275,19.412763922611042,Total
2011,79,15.541474691679806,11.459056575333491,20.605740691183538,Total
2012,79,11.540376480053283,8.038295058582168,16.049870045166745,Total
2013,79,14.061248181030395,10.17619503015555,18.94040902221469,Total
2014,79,12.838256752609924,9.212954699257661,17.416544932563117,Total
2015,79,12.287087806601239,8.778075670579788,16.73152619883091,Total
2000,80,12.78149726110773,9.21177898127745,17.276871204653272,Total
2001,80,15.877027561223763,11.745912394070784,20.99027243453749,Total
2002,80,11.975883991322616,8.341641997207827,16.65555556778797,Total
2003,80,12.190050050911386,8.441964026650416,17.03437310702975,Total
2004,80,13.044612575006521,9.136286277544142,18.059242285284295,Total
2005,80,18.53406452034931,13.79982841028269,24.36887199379428,Total
2006,80,15.51657567217445,11.2294227516183,20.90072560212744,Total
2007,80,13.357111398309062,9.404639093415316,18.411018585132027,Total
2008,80,19.532309695621507,14.67327219450735,25.48542723082875,Total
2009,80,14.844923566316162,10.69891516567207,20.066024133070833,Total
2010,80,15.075359667245696,10.953779412590098,20.237966704117888,Total
2011,80,16.558697202256038,12.250215347151105,21.891475850633217,Total
2012,80,15.23590255793875,11.113171873926113,20.38683634844807,Total
2013,80,11.035586317252415,7.548332871661154,15.578955164282107,Total
2014,80,8.182245890126074,5.242519332153657,12.174533303020342,Total
2015,80,8.841530305163781,5.826624183145677,12.863962395714834,Total
2000,81,11.468901632112924,7.4918673205100745,16.804598183998685,Total
2001,81,16.372484472266056,12.029885764321833,21.771933500070354,Total
2002,81,14.584092921506329,10.510931379230758,19.713456873965885,Total
2003,81,14.27781703160523,10.152923653743343,19.518245902754465,Total
2004,81,14.95203846124355,10.632360999500248,20.439928792194596,Total
2005,81,11.987208488490346,8.144726586909911,17.014885600752013,Total
2006,81,12.762304021285976,8.784982857027325,17.923019819923617,Total
2007,81,14.181678804139517,9.98521064281565,19.547576137190813,Total
2008,81,6.897344522358892,4.087803494807651,10.900777969700727,Total
2009,81,12.656334495414956,8.712038311387953,17.774199206551106,Total
2010,81,14.938249013141924,10.672104105325474,20.34165529392278,Total
2011,81,13.352098444660966,9.401109511423632,18.404108888863927,Total
2012,81,11.73358364978453,8.076859087742257,16.47831394417989,Total
2013,81,8.901295316494457,5.760448998365482,13.140067826990993,Total
2014,81,13.016549095892193,9.116630961783853,18.020390601052238,Total
2015,81,10.755309537808499,7.256562180538955,15.353873128507185,Total
2000,82,13.404825737265417,8.674896433152453,19.788167130043092,Total
2001,82,11.993403628004598,7.684400007339195,17.84523391822158,Total
2002,82,16.97920990076595,12.384752212290861,22.719518732580763,Total
2003,82,15.37181034935251,11.031076502296504,20.85359646588392,Total
2004,82,13.01461975619279,8.958665399146492,18.277364921722697,Total
2005,82,14.400625398588739,10.030563230068408,20.02778389560907,Total
2006,82,14.505427101939997,10.103561456394514,20.173537695080615,Total
2007,82,15.31279487476617,10.781620742259188,21.1066706432743,Total
2008,82,13.935625607121926,9.650825843442375,19.47363998344247,Total
2009,82,11.046242845512158,7.279543639518046,16.071703390035506,Total
2010,82,14.67130171124433,10.27559935010829,20.311265721414877,Total
2011,82,11.890465036087562,8.022446828385283,16.97437818607296,Total
2012,82,16.821565246646202,12.222575059790856,22.582166189536128,Total
2013,82,15.83883607181781,11.415239876335534,21.409505103684285,Total
2014,82,10.145951389619565,6.686245897189487,14.761826588841743,Total
2015,82,7.273339764496914,4.3790256650767665,11.358221006777836,Total
2000,83,15.223097112860891,10.195147053830937,21.86290679190897,Total
