Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2005,25-29,38.11837693200806,36.00916280374721,40.31889542507787,Total (LFS)
2006,25-29,35.315276830508516,33.315387628503245,37.40384586803928,Total (LFS)
2007,25-29,34.73650425199456,32.78583540629245,36.772919076048545,Total (LFS)
2008,25-29,34.23432499045963,32.3268809857654,36.22493430750692,Total (LFS)
2009,25-29,32.908553070883166,31.048887538579258,34.85049977381271,Total (LFS)
2010,25-29,31.975139259411094,30.149657890117254,33.88225201315244,Total (LFS)
2011,25-29,32.95335067234796,31.108184928072035,34.87938034221026,Total (LFS)
2012,25-29,33.433043009261226,31.575563535402203,35.371269141225966,Total (LFS)
2013,25-29,27.125292770587837,25.46005374758711,28.870846279708758,Total (LFS)
2014,25-29,22.044841384644652,20.552638496747612,23.61674763940783,Total (LFS)
2015,25-29,20.496025273423417,19.068246429088457,22.002396572456767,Total (LFS)
2016,25-29,0,0,0.09734835048963243,Total (LFS)
2000,30-34,18.742860945648822,17.39955150546651,20.162353362892283,Total (LFS)
2001,30-34,17.844135401927378,16.529868313634168,19.235106702975358,Total (LFS)
2002,30-34,20.972225720539125,19.535979215782525,22.48612966549644,Total (LFS)
2003,30-34,22.790962371986268,21.27998957393944,24.380903849509632,Total (LFS)
2004,30-34,25.26004287290519,23.647901902904206,26.953153862651693,Total (LFS)
2005,30-34,27.927720801779476,26.21492556856203,29.723038475002618,Total (LFS)
2006,30-34,28.513019931586136,26.75908951617551,30.351718715514057,Total (LFS)
2007,30-34,30.556574273811375,28.71344025741579,32.48698528097657,Total (LFS)
2008,30-34,30.259973031780522,28.415113212850624,32.19317034204624,Total (LFS)
2009,30-34,30.669747618527044,28.819787128734095,32.60730834962396,Total (LFS)
2010,30-34,28.624012875227784,26.85527591411669,30.478637890552196,Total (LFS)
2011,30-34,32.31213811621666,30.45458378734199,34.25335903651883,Total (LFS)
2012,30-34,29.110516957995767,27.3679580382516,30.934936838863145,Total (LFS)
